,Symbols,Description
3449,MTL.HIC.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for High income
3450,MTL.IBD.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for IBRD only
3451,MTL.IBT.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for IDA & IBRD total
3452,MTL.IDB.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for IDA blend
3453,MTL.IDX.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for IDA only
3454,MTL.IDA.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for IDA total
3455,MTL.LTE.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Late-demographic dividend
3456,MTL.LCN.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Latin America & Caribbean
3457,MTL.LAC.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Latin America & Caribbean (excluding high income)
3458,MTL.TLA.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Latin America & the Caribbean (IDA & IBRD countries)
3459,MTL.LDC.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Least developed countries: UN classification
3460,MTL.LMY.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Low & middle income
3461,MTL.LIC.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Low income
3462,MTL.LMC.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Lower middle income
3463,MTL.MEA.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Middle East & North Africa
3464,MTL.MNA.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Middle East & North Africa (excluding high income)
3465,MTL.TMN.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Middle East & North Africa (IDA & IBRD countries)
3466,MTL.MIC.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Middle income
3467,MTL.NAC.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for North America
3468,MTL.INX.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Not classified
3469,MTL.OED.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for OECD members
3470,MTL.OSS.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Other small states
3471,MTL.PSS.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Pacific island small states
3472,MTL.PST.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Post-demographic dividend
3473,MTL.PRE.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Pre-demographic dividend
3474,MTL.SST.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Small states
3475,MTL.SAS.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for South Asia
3476,MTL.TSA.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for South Asia (IDA & IBRD)
3477,MTL.SSF.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Sub-Saharan Africa
3478,MTL.SSA.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Sub-Saharan Africa (excluding high income)
3479,MTL.TSS.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Sub-Saharan Africa (IDA & IBRD countries)
3480,MTL.UMC.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Upper middle income
3481,MTL.WLD.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for World
3482,DIS.LKA.HYD,Number of Hydrological type Disasters in the country Sri Lanka
3483,DIS.LKA.MET,Number of Meteorological type Disasters in the country Sri Lanka
3484,DIS.LKA.GEO,Number of Geophysical type Disasters in the country Sri Lanka
3485,DIS.LKA.TRA,Number of Transport type Disasters in the country Sri Lanka
3486,DIS.LKA.IND,Number of Industrial accident type Disasters in the country Sri Lanka
3487,DIS.LKA.MIS,Number of Miscellaneous accident type Disasters in the country Sri Lanka
3488,DIS.LKA.BIO,Number of Biological type Disasters in the country Sri Lanka
3489,DIS.LKA.CLI,Number of Climatological type Disasters in the country Sri Lanka
3490,DIS.TUN.HYD,Number of Hydrological type Disasters in the country Tunisia
3491,Disaster_Tunisia_Meteorological,Number of Meteorological type Disasters in the country Tunisia
3492,Disaster_Tunisia_Geophysical,Number of Geophysical type Disasters in the country Tunisia
3493,DIS.TUN.TRA,Number of Transport type Disasters in the country Tunisia
3494,Disaster_Tunisia_Industrial accident,Number of Industrial accident type Disasters in the country Tunisia
3495,Disaster_Tunisia_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Tunisia
3496,Disaster_Tunisia_Biological,Number of Biological type Disasters in the country Tunisia
3497,DIS.TUN.CLI,Number of Climatological type Disasters in the country Tunisia
3498,DIS.WSM.HYD,Number of Hydrological type Disasters in the country Samoa
3499,DIS.WSM.MET,Number of Meteorological type Disasters in the country Samoa
3500,DIS.WSM.GEO,Number of Geophysical type Disasters in the country Samoa
3501,Disaster_Samoa_Transport,Number of Transport type Disasters in the country Samoa
3502,Disaster_Samoa_Industrial accident,Number of Industrial accident type Disasters in the country Samoa
3503,Disaster_Samoa_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Samoa
3504,DIS.WSM.BIO,Number of Biological type Disasters in the country Samoa
3505,DIS.WSM.CLI,Number of Climatological type Disasters in the country Samoa
3506,DIS.FRA.HYD,Number of Hydrological type Disasters in the country France
3507,DIS.FRA.MET,Number of Meteorological type Disasters in the country France
3508,DIS.FRA.GEO,Number of Geophysical type Disasters in the country France
3509,DIS.FRA.TRA,Number of Transport type Disasters in the country France
3510,DIS.FRA.IND,Number of Industrial accident type Disasters in the country France
3511,DIS.FRA.MIS,Number of Miscellaneous accident type Disasters in the country France
3512,DIS.FRA.BIO,Number of Biological type Disasters in the country France
3513,DIS.FRA.CLI,Number of Climatological type Disasters in the country France
3514,DIS.IDN.HYD,Number of Hydrological type Disasters in the country Indonesia
3515,DIS.IDN.MET,Number of Meteorological type Disasters in the country Indonesia
3516,DIS.IDN.GEO,Number of Geophysical type Disasters in the country Indonesia
3517,DIS.IDN.TRA,Number of Transport type Disasters in the country Indonesia
3518,DIS.IDN.IND,Number of Industrial accident type Disasters in the country Indonesia
3519,DIS.IDN.MIS,Number of Miscellaneous accident type Disasters in the country Indonesia
3520,DIS.IDN.BIO,Number of Biological type Disasters in the country Indonesia
3521,DIS.IDN.CLI,Number of Climatological type Disasters in the country Indonesia
3522,Disaster_Tokelau_Hydrological,Number of Hydrological type Disasters in the country Tokelau
3523,DIS.TKL.MET,Number of Meteorological type Disasters in the country Tokelau
3524,Disaster_Tokelau_Geophysical,Number of Geophysical type Disasters in the country Tokelau
3525,Disaster_Tokelau_Transport,Number of Transport type Disasters in the country Tokelau
3526,Disaster_Tokelau_Industrial accident,Number of Industrial accident type Disasters in the country Tokelau
3527,Disaster_Tokelau_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Tokelau
3528,Disaster_Tokelau_Biological,Number of Biological type Disasters in the country Tokelau
3529,Disaster_Tokelau_Climatological,Number of Climatological type Disasters in the country Tokelau
3530,Disaster_Niue_Hydrological,Number of Hydrological type Disasters in the country Niue
3531,DIS.NIU.MET,Number of Meteorological type Disasters in the country Niue
3532,Disaster_Niue_Geophysical,Number of Geophysical type Disasters in the country Niue
3533,Disaster_Niue_Transport,Number of Transport type Disasters in the country Niue
3534,Disaster_Niue_Industrial accident,Number of Industrial accident type Disasters in the country Niue
3535,Disaster_Niue_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Niue
3536,DIS.NIU.BIO,Number of Biological type Disasters in the country Niue
3537,Disaster_Niue_Climatological,Number of Climatological type Disasters in the country Niue
3538,Disaster_Tonga_Hydrological,Number of Hydrological type Disasters in the country Tonga
3539,DIS.TON.MET,Number of Meteorological type Disasters in the country Tonga
3540,DIS.TON.GEO,Number of Geophysical type Disasters in the country Tonga
3541,DIS.TON.TRA,Number of Transport type Disasters in the country Tonga
3542,Disaster_Tonga_Industrial accident,Number of Industrial accident type Disasters in the country Tonga
3543,Disaster_Tonga_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Tonga
3544,DIS.TON.BIO,Number of Biological type Disasters in the country Tonga
3545,DIS.TON.CLI,Number of Climatological type Disasters in the country Tonga
3546,DIS.PHL.HYD,Number of Hydrological type Disasters in the country Philippines
3547,DIS.PHL.MET,Number of Meteorological type Disasters in the country Philippines
3548,DIS.PHL.GEO,Number of Geophysical type Disasters in the country Philippines
3549,DIS.PHL.TRA,Number of Transport type Disasters in the country Philippines
3550,DIS.PHL.IND,Number of Industrial accident type Disasters in the country Philippines
3551,DIS.PHL.MIS,Number of Miscellaneous accident type Disasters in the country Philippines
3552,DIS.PHL.BIO,Number of Biological type Disasters in the country Philippines
3553,DIS.PHL.CLI,Number of Climatological type Disasters in the country Philippines
3554,Disaster_Tuvalu_Hydrological,Number of Hydrological type Disasters in the country Tuvalu
3555,DIS.TUV.MET,Number of Meteorological type Disasters in the country Tuvalu
3556,Disaster_Tuvalu_Geophysical,Number of Geophysical type Disasters in the country Tuvalu
3557,Disaster_Tuvalu_Transport,Number of Transport type Disasters in the country Tuvalu
3558,Disaster_Tuvalu_Industrial accident,Number of Industrial accident type Disasters in the country Tuvalu
3559,DIS.TUV.MIS,Number of Miscellaneous accident type Disasters in the country Tuvalu
3560,Disaster_Tuvalu_Biological,Number of Biological type Disasters in the country Tuvalu
3561,DIS.TUV.CLI,Number of Climatological type Disasters in the country Tuvalu
3562,DIS.PRY.HYD,Number of Hydrological type Disasters in the country Paraguay
3563,DIS.PRY.MET,Number of Meteorological type Disasters in the country Paraguay
3564,Disaster_Paraguay_Geophysical,Number of Geophysical type Disasters in the country Paraguay
3565,DIS.PRY.TRA,Number of Transport type Disasters in the country Paraguay
3566,Disaster_Paraguay_Industrial accident,Number of Industrial accident type Disasters in the country Paraguay
3567,DIS.PRY.MIS,Number of Miscellaneous accident type Disasters in the country Paraguay
3568,DIS.PRY.BIO,Number of Biological type Disasters in the country Paraguay
3569,DIS.PRY.CLI,Number of Climatological type Disasters in the country Paraguay
3570,Disaster_Cook Islands_Hydrological,Number of Hydrological type Disasters in the country Cook Islands
3571,DIS.COK.MET,Number of Meteorological type Disasters in the country Cook Islands
3572,Disaster_Cook Islands_Geophysical,Number of Geophysical type Disasters in the country Cook Islands
3573,Disaster_Cook Islands_Transport,Number of Transport type Disasters in the country Cook Islands
3574,Disaster_Cook Islands_Industrial accident,Number of Industrial accident type Disasters in the country Cook Islands
3575,DIS.COK.MIS,Number of Miscellaneous accident type Disasters in the country Cook Islands
3576,DIS.COK.BIO,Number of Biological type Disasters in the country Cook Islands
3577,Disaster_Cook Islands_Climatological,Number of Climatological type Disasters in the country Cook Islands
3578,DIS.MMR.HYD,Number of Hydrological type Disasters in the country Myanmar
3579,DIS.MMR.MET,Number of Meteorological type Disasters in the country Myanmar
3580,DIS.MMR.GEO,Number of Geophysical type Disasters in the country Myanmar
3581,DIS.MMR.TRA,Number of Transport type Disasters in the country Myanmar
3582,DIS.MMR.IND,Number of Industrial accident type Disasters in the country Myanmar
3583,DIS.MMR.MIS,Number of Miscellaneous accident type Disasters in the country Myanmar
3584,DIS.MMR.BIO,Number of Biological type Disasters in the country Myanmar
3585,Disaster_Myanmar_Climatological,Number of Climatological type Disasters in the country Myanmar
3586,DIS.TZA.HYD,Number of Hydrological type Disasters in the country United Republic of Tanzania
3587,DIS.TZA.MET,Number of Meteorological type Disasters in the country United Republic of Tanzania
3588,DIS.TZA.GEO,Number of Geophysical type Disasters in the country United Republic of Tanzania
3589,DIS.TZA.TRA,Number of Transport type Disasters in the country United Republic of Tanzania
3590,DIS.TZA.IND,Number of Industrial accident type Disasters in the country United Republic of Tanzania
3591,DIS.TZA.MIS,Number of Miscellaneous accident type Disasters in the country United Republic of Tanzania
3592,DIS.TZA.BIO,Number of Biological type Disasters in the country United Republic of Tanzania
3593,DIS.TZA.CLI,Number of Climatological type Disasters in the country United Republic of Tanzania
3594,DIS.IND.HYD,Number of Hydrological type Disasters in the country India
3595,DIS.IND.MET,Number of Meteorological type Disasters in the country India
3596,DIS.IND.GEO,Number of Geophysical type Disasters in the country India
3597,DIS.IND.TRA,Number of Transport type Disasters in the country India
3598,DIS.IND.IND,Number of Industrial accident type Disasters in the country India
3599,DIS.IND.MIS,Number of Miscellaneous accident type Disasters in the country India
3600,DIS.IND.BIO,Number of Biological type Disasters in the country India
3601,DIS.IND.CLI,Number of Climatological type Disasters in the country India
3602,DIS.BGR.HYD,Number of Hydrological type Disasters in the country Bulgaria
3603,DIS.BGR.MET,Number of Meteorological type Disasters in the country Bulgaria
3604,DIS.BGR.GEO,Number of Geophysical type Disasters in the country Bulgaria
3605,DIS.BGR.TRA,Number of Transport type Disasters in the country Bulgaria
3606,DIS.BGR.IND,Number of Industrial accident type Disasters in the country Bulgaria
3607,Disaster_Bulgaria_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Bulgaria
3608,Disaster_Bulgaria_Biological,Number of Biological type Disasters in the country Bulgaria
3609,DIS.BGR.CLI,Number of Climatological type Disasters in the country Bulgaria
3610,DIS.ROU.HYD,Number of Hydrological type Disasters in the country Romania
3611,DIS.ROU.MET,Number of Meteorological type Disasters in the country Romania
3612,DIS.ROU.GEO,Number of Geophysical type Disasters in the country Romania
3613,DIS.ROU.TRA,Number of Transport type Disasters in the country Romania
3614,DIS.ROU.IND,Number of Industrial accident type Disasters in the country Romania
3615,DIS.ROU.MIS,Number of Miscellaneous accident type Disasters in the country Romania
3616,DIS.ROU.BIO,Number of Biological type Disasters in the country Romania
3617,DIS.ROU.CLI,Number of Climatological type Disasters in the country Romania
3618,DIS.SUN.HYD,Number of Hydrological type Disasters in the country Soviet Union
3619,DIS.SUN.MET,Number of Meteorological type Disasters in the country Soviet Union
3620,DIS.SUN.GEO,Number of Geophysical type Disasters in the country Soviet Union
3621,DIS.SUN.TRA,Number of Transport type Disasters in the country Soviet Union
3622,DIS.SUN.IND,Number of Industrial accident type Disasters in the country Soviet Union
3623,DIS.SUN.MIS,Number of Miscellaneous accident type Disasters in the country Soviet Union
3624,Disaster_Soviet Union_Biological,Number of Biological type Disasters in the country Soviet Union
3625,Disaster_Soviet Union_Climatological,Number of Climatological type Disasters in the country Soviet Union
3626,DIS.DEU.HYD,Number of Hydrological type Disasters in the country Germany
3627,DIS.DEU.MET,Number of Meteorological type Disasters in the country Germany
3628,DIS.DEU.GEO,Number of Geophysical type Disasters in the country Germany
3629,DIS.DEU.TRA,Number of Transport type Disasters in the country Germany
3630,DIS.DEU.IND,Number of Industrial accident type Disasters in the country Germany
3631,DIS.DEU.MIS,Number of Miscellaneous accident type Disasters in the country Germany
3632,DIS.DEU.BIO,Number of Biological type Disasters in the country Germany
3633,Disaster_Germany_Climatological,Number of Climatological type Disasters in the country Germany
3634,DIS.TUR.HYD,Number of Hydrological type Disasters in the country Türkiye
3635,DIS.TUR.MET,Number of Meteorological type Disasters in the country Türkiye
3636,DIS.TUR.GEO,Number of Geophysical type Disasters in the country Türkiye
3637,DIS.TUR.TRA,Number of Transport type Disasters in the country Türkiye
3638,DIS.TUR.IND,Number of Industrial accident type Disasters in the country Türkiye
3639,DIS.TUR.MIS,Number of Miscellaneous accident type Disasters in the country Türkiye
3640,DIS.TUR.BIO,Number of Biological type Disasters in the country Türkiye
3641,DIS.TUR.CLI,Number of Climatological type Disasters in the country Türkiye
3642,DIS.CHN.HYD,Number of Hydrological type Disasters in the country China
3643,DIS.CHN.MET,Number of Meteorological type Disasters in the country China
3644,DIS.CHN.GEO,Number of Geophysical type Disasters in the country China
3645,DIS.CHN.TRA,Number of Transport type Disasters in the country China
3646,DIS.CHN.IND,Number of Industrial accident type Disasters in the country China
3647,DIS.CHN.MIS,Number of Miscellaneous accident type Disasters in the country China
3648,DIS.CHN.BIO,Number of Biological type Disasters in the country China
3649,DIS.CHN.CLI,Number of Climatological type Disasters in the country China
3650,DIS.PER.HYD,Number of Hydrological type Disasters in the country Peru
3651,DIS.PER.MET,Number of Meteorological type Disasters in the country Peru
3652,DIS.PER.GEO,Number of Geophysical type Disasters in the country Peru
3653,DIS.PER.TRA,Number of Transport type Disasters in the country Peru
3654,DIS.PER.IND,Number of Industrial accident type Disasters in the country Peru
3655,DIS.PER.MIS,Number of Miscellaneous accident type Disasters in the country Peru
3656,DIS.PER.BIO,Number of Biological type Disasters in the country Peru
3657,DIS.PER.CLI,Number of Climatological type Disasters in the country Peru
3658,DIS.SDN.HYD,Number of Hydrological type Disasters in the country Sudan
3659,DIS.SDN.MET,Number of Meteorological type Disasters in the country Sudan
3660,DIS.SDN.GEO,Number of Geophysical type Disasters in the country Sudan
3661,DIS.SDN.TRA,Number of Transport type Disasters in the country Sudan
3662,DIS.SDN.IND,Number of Industrial accident type Disasters in the country Sudan
3663,DIS.SDN.MIS,Number of Miscellaneous accident type Disasters in the country Sudan
3664,DIS.SDN.BIO,Number of Biological type Disasters in the country Sudan
3665,DIS.SDN.CLI,Number of Climatological type Disasters in the country Sudan
3666,DIS.UGA.HYD,Number of Hydrological type Disasters in the country Uganda
3667,DIS.UGA.MET,Number of Meteorological type Disasters in the country Uganda
3668,DIS.UGA.GEO,Number of Geophysical type Disasters in the country Uganda
3669,DIS.UGA.TRA,Number of Transport type Disasters in the country Uganda
3670,Disaster_Uganda_Industrial accident,Number of Industrial accident type Disasters in the country Uganda
3671,DIS.UGA.MIS,Number of Miscellaneous accident type Disasters in the country Uganda
3672,DIS.UGA.BIO,Number of Biological type Disasters in the country Uganda
3673,DIS.UGA.CLI,Number of Climatological type Disasters in the country Uganda
3674,DIS.IRN.HYD,Number of Hydrological type Disasters in the country Iran (Islamic Republic of)
3675,DIS.IRN.MET,Number of Meteorological type Disasters in the country Iran (Islamic Republic of)
3676,DIS.IRN.GEO,Number of Geophysical type Disasters in the country Iran (Islamic Republic of)
3677,DIS.IRN.TRA,Number of Transport type Disasters in the country Iran (Islamic Republic of)
3678,DIS.IRN.IND,Number of Industrial accident type Disasters in the country Iran (Islamic Republic of)
3679,DIS.IRN.MIS,Number of Miscellaneous accident type Disasters in the country Iran (Islamic Republic of)
3680,DIS.IRN.BIO,Number of Biological type Disasters in the country Iran (Islamic Republic of)
3681,DIS.IRN.CLI,Number of Climatological type Disasters in the country Iran (Islamic Republic of)
3682,DIS.TWN.HYD,Number of Hydrological type Disasters in the country Taiwan (Province of China)
3683,DIS.TWN.MET,Number of Meteorological type Disasters in the country Taiwan (Province of China)
3684,DIS.TWN.GEO,Number of Geophysical type Disasters in the country Taiwan (Province of China)
3685,DIS.TWN.TRA,Number of Transport type Disasters in the country Taiwan (Province of China)
3686,DIS.TWN.IND,Number of Industrial accident type Disasters in the country Taiwan (Province of China)
3687,DIS.TWN.MIS,Number of Miscellaneous accident type Disasters in the country Taiwan (Province of China)
